# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     3.731        16         6            23
     2.434         1         2            52
     1.876         0         1            59
     1.581         0         4            81
     2.189         7         1           100
     1.346         1         0           122
     1.616         0         1           140
     1.907         2         0           143
     1.419         1         3           166
     1.568         0         4           181
     2.601         6        15           243
     1.595         1         0           258
     3.907         1         0           273
     1.661         1         0           294
     1.887         1         1           327
     1.816         1         0           336
     1.560         1         0           339
     1.648         2         2           348
     2.046         1         1           346
     1.867         3         0           359
     1.487         1         0           378
     2.612        12         8           398
     1.288         1         0           428
     1.578         1         0           435
     1.905         1         0           451
     1.729         6         0           456
     2.531        13        25           541
     1.821         0         1           529
     1.813         1         7           601
     1.344         1         0           616
     2.589         3         0           636
     2.657         8        12           656
     1.848         0         9           690
     2.463         2         0           702
     1.800         1         0           716
     1.942         0         1           736
     2.125         3         0           750
     1.495         0         1           758
     2.784        17        18           793
     1.626         0         1           814
     1.564         3         1           818
     2.686        17         8           845
     2.544         1         0           828
     1.571         1         0           878
     3.870       215        65           997
     1.657         0         1           973
     2.836         7         0          1165
     2.333         0         2          1270
     2.927        12         9          1389
     2.198        13         0          1430
     1.572         1         0          1469
     1.696         0         1          1494
     2.103         1         2          1527
     1.514         1         0          1531
     1.742         0         1          1573
     2.165         4        19          1628
     2.889         6         5          1647
     2.047         1         2          1679
     3.129        25        16          1711
     1.764         3         5          1773
     1.455         0         1          1783
     1.773         2         0          1784
     2.493         0         1          1792
     2.192         3         0          1802
     1.366         0         1          1816
     1.547         0         2          1823
     1.432         0         7          1851
     2.142         0         1          1839
     1.918         1         0          1885
     1.390         1         0          1906
     1.838         3         0          1899
     1.883         5         0          1917
     2.115         1         0          1924
     2.072         1         0          1943
     2.019         0         9          1975
     2.348         2        15          2001
     1.788         2         3          1988
     1.993         5         0          2034
     2.327         1         0          2042
     1.712         4         2          2089
     3.852       496       368          2988
     1.731         1         0          2118
     2.586        26         1          2428
     1.792         1         0          2447
     1.762         1         2          3501
     1.636         3         0          2945
     2.051         2         1          3753
     1.596         0         2          3826
     2.306         2         5          4043
     2.606        41        32          4144
     1.413         2         1          4171
     1.608         1         3          4251
     3.310        21         6          4342
     1.362         0         1          4376
     2.229         0         1          4405
     1.499         1         0          4419
     1.790         0         1          4431
     1.581         1         1          4434
     1.328         1         0          4425
     2.347         3         1          4459
     1.425         0         1          4474
     1.960         1         4          4482
     1.583         2         0          4490
     1.406         1         1          4524
     1.755         2         0          4537
     1.776         0         1          4542
     1.642         2         1          4544
     1.958         1         0          4577
     2.763         3         0          4597
     2.282         3         9          4634
     2.123         0         1          4649
     1.554         0         1          4656
     2.420         2         0          4665
     2.064         0         1          4671
     1.795         4         0          4682
